weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,message,rain.1h
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627749801.0,-14400.0,5006232.0,Port Hope,200,-82.7127,43.9408,70.14,69.87,68.97,72.21,1015.0,64.0,5.75,230.0,39.0,1.0,5281.0,US,1627726698.0,1627779359.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627749802.0,23400.0,1328421.0,Pathein,200,94.7333,16.7833,79.5,79.5,79.5,79.5,1008.0,89.0,8.66,231.0,100.0,,,MM,1627687250.0,1627733635.0,1008.0,1006.0,21.56,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627749593.0,-14400.0,3883457.0,Lebu,200,-73.65,-37.6167,51.96,49.53,51.96,51.96,1026.0,57.0,12.73,179.0,52.0,,,CL,1627732495.0,1627769212.0,1026.0,1022.0,15.5,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627749805.0,-18000.0,3520994.0,Puerto Escondido,200,-97.0667,15.85,88.14,95.92,88.14,88.14,1013.0,61.0,7.81,245.0,9.0,,,MX,1627733373.0,1627779574.0,1013.0,1013.0,9.19,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627749670.0,7200.0,3115824.0,Muros,200,-9.0603,42.7762,71.33,70.75,65.86,73.69,1020.0,55.0,14.79,308.0,56.0,2.0,72671.0,ES,1627709199.0,1627761506.0,1020.0,1018.0,17.18,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627749807.0,19800.0,1223738.0,Weligama,200,80.4167,5.9667,79.2,79.2,79.2,79.2,1013.0,86.0,9.84,275.0,96.0,,,LK,1627691593.0,1627736164.0,1013.0,1011.0,20.13,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627749808.0,-28800.0,5861897.0,Fairbanks,200,-147.7164,64.8378,56.97,56.26,53.6,61.09,1014.0,83.0,4.61,70.0,1.0,2.0,2017395.0,US,1627735732.0,1627801526.0,,,,,
"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10n'}]",stations,3878.0,1627749810.0,10800.0,341742.0,Bonga,200,36.2333,7.2833,61.41,61.95,61.41,61.41,1018.0,100.0,1.43,141.0,100.0,,,ET,1627702091.0,1627746873.0,1018.0,846.0,2.26,,4.31
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627749641.0,43200.0,4031574.0,Provideniya,200,-173.3,64.3833,45.46,43.56,45.46,45.46,996.0,87.0,4.09,336.0,100.0,,,RU,1627828777.0,1627893555.0,996.0,995.0,4.85,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,city not found,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1627749813.0,36000.0,2013279.0,Vostok,200,135.8833,46.4856,63.43,64.02,63.43,63.43,1008.0,97.0,4.34,130.0,30.0,,,RU,1627760218.0,1627813711.0,1008.0,940.0,4.09,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,city not found,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1627749815.0,14400.0,935215.0,Saint-Philippe,200,55.7679,-21.3585,68.83,68.88,68.22,69.39,1029.0,74.0,15.12,108.0,50.0,1.0,2127.0,RE,1627699746.0,1627739842.0,1029.0,1022.0,16.93,,
"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",stations,1609.0,1627749817.0,-28800.0,5866583.0,Saint Paul Harbor,200,-152.4072,57.79,51.31,50.52,51.31,51.31,1020.0,93.0,4.61,90.0,90.0,1.0,7668.0,US,1627740184.0,1627799325.0,,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627749818.0,3600.0,2514651.0,Los Llanos de Aridane,200,-17.9182,28.6585,74.12,75.09,73.15,74.12,1017.0,82.0,17.27,20.0,20.0,2.0,2002582.0,ES,1627713150.0,1627761807.0,,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627749819.0,3600.0,2436400.0,Ati,200,18.3353,13.2154,84.24,88.77,84.24,84.24,1011.0,63.0,10.09,234.0,78.0,,,TD,1627705897.0,1627751658.0,1011.0,974.0,12.71,,
